p;MS;Bruxisme;;bruxomanie,clenching,grincement,grinding,serrement,usure dentaire,grince des dents, grincent des dents, dents qui grincent;nocturne,diurne,sévère|grave|marqué|important,modéré|léger|bénin;nocturne,diurne,sévère,modéré;bruxomanie,bruxomanies,clenching,grincement,grincemente,grincements,grincementes,grinding,serrement,serremente,serrements,serrementes,usure dentaire,usures dentaires,grince des dents,grinces des dents,grincent des dents,grincents des dents,dents qui grincent,dents qui grincents;nocturne|nocturnes,diurne|diurnes,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes
#;;;;;;;;
# AVULSIONS / EXTRACTIONS;;;;;;;;
#;;;;;;;;
p;FS;avulsion;;arrachage dentaire,dédentation,exodontie,extraction,extraction dentaire;immédiat,différé,programmé;immédiate,différée,programmée;arrachage dentaire,arrachages dentaires,dédentation,dédentations,exodontie,exodonties,extraction,extractions,extraction dentaire,extractions dentaires;immédiat|immédiate|immédiats|immédiates,différé|différée|différés|différées,programmé|programmée|programmés|programmées
#;;;;;;;;
#==============================================================================;;;;;;;;
# DONNÉES EXTRAITES D'AUGIAS.CSV - À VALIDER;;;;;;;;
#==============================================================================;;;;;;;;
#;;;;;;;;
# TRAITEMENTS, APPAREILS ET DISPOSITIFS;;;;;;;;
#;;;;;;;;
t;MS;activateur;;appareil fonctionnel,functional appliance,appareil amovible fonctionnel,appareil d'activation,activateur orthodontique,monobloc,activateur de classe II;;;appareil fonctionnel,appareils fonctionnels,functional appliance,functionaux appliances,appareil amovible fonctionnel,appareils amovibles fonctionnels,appareil d'activation,appareils d'activations,activateur orthodontique,activateurs orthodontiques,monobloc,monobloque,monoblocs,monobloques,activateur de classe II;
t;MS;arc;;fil orthodontique,fil,wire,archwire,fil métallique,fil rond,fil rectangulaire,fil d'arc,arc orthodontique;;;fil orthodontique,fils orthodontiques,fil,fille,fils,filles,wire,archwire,fil métallique,fils métalliques,fil rond,fils ronds,fil rectangulaire,fils rectangulaires,fil d'arc,fils d'arcs,arc orthodontique,arcs orthodontiques;
t;FP;bagues;;brackets,attaches,broches,braces,bracket,appareil orthodontique,appareil dentaire,appareil multi-attaches,attaches orthodontiques,boîtiers orthodontiques;;;brackets,bracketsse,bracketsses,attaches,attachesse,attachesses,broches,brochesse,brochesses,braces,bracesse,bracesses,bracket,brackète,brackètes,appareil orthodontique,appareils orthodontiques,appareil dentaire,appareils dentaires,appareil multi-attaches,appareils multi-attaches,attaches orthodontiques,boîtiers orthodontiques;
t;FP;bielles;;bielle,Forsus,PowerScope,système de bielles;;;bielle,bielles,Forsus,Forsusse,Forsusses,PowerScope,système de bielles,systèmes de bielles;
t;FS;céramique;;ceramic,esthétique,transparent,brackets céramiques,attaches céramiques;;;ceramic,ceramique,ceramics,ceramiques,esthétique,esthétiques,transparent,transparente,transparents,transparentes,brackets céramiques,attaches céramiques;
t;FS;contention;;appareil de contention,fil de contention,hawley,maintenance,maintien,plaque de contention,retention,stabilisation;fixe|collé,amovible;fixe,amovible;appareil de contention,appareils de contentions,fil de contention,fils de contentions,hawley,maintenance,maintenances,maintien,maintienne,maintiens,maintiennes,plaque de contention,plaques de contentions,retention,retentions,stabilisation,stabilisations;fixe|fixes|collé|collée|collés|collées,amovible|amovibles
t;MS;disjoncteur;;expansion,disjonction,disjoncteur palatin,quad helix,appareil d'expansion,appareil d'expansion palatine,ERP,expansion rapide du palais;;;expansion,expansions,disjonction,disjonctions,disjoncteur palatin,disjoncteurs palatins,quad helix,quads helix,appareil d'expansion,appareils d'expansions,appareil d'expansion palatine,appareils d'expansions palatines,ERP,ERPe,ERPs,ERPes,expansion rapide du palais,expansions rapides du palais;
t;MS;écarteur;;séparateur,separator,élastique séparateur,anneau séparateur;;;séparateur,séparatrice,séparateurs,séparatrices,separator,separatore,separators,separatores,élastique séparateur,élastiques séparateurs,anneau séparateur,anneaux séparateurs;
t;MP;élastiques intermaxillaires;;élastiques de classe,élastiques classe II,élastiques classe III,rubber bands,IMU;;;élastiques de classe,élastiques classe II,élastiques classe III,rubber bands,rubbers bands,IMU,IMUe,IMUs,IMUes;
t;FS;gouttière;;invisalign,aligneur,aligneur invisible,appareil amovible transparent,clear aligner,gouttière orthodontique,gouttière transparente,plaque;;;invisalign,invisaligne,invisaligns,invisalignes,aligneur,aligneuse,aligneurs,aligneuses,aligneur invisible,aligneurs invisibles,appareil amovible transparent,appareils amovibles transparents,clear aligner,clears aligners,gouttière orthodontique,gouttières orthodontiques,gouttière transparente,gouttières transparentes,plaque,plaques;
t;MS;Herbst;;appareil de Herbst,correction classe II,bielle de Herbst,vérin de Herbst;;;appareil de Herbst,appareils de Herbsts,correction classe II,bielle de Herbst,bielles de Herbsts,vérin de Herbst,vérins de Herbsts;
t;FS;ligature;;élastique,tie,attache,ligatures métalliques,ligatures élastiques,ligature colorée;;;élastique,élastiques,tie,ties,attache,attaches,ligatures métalliques,ligatures élastiques,ligature colorée,ligatures colorées;
t;MS;mainteneur d'espace;;space maintainer,bague et anse,appareil mainteneur d'espace;;;space maintainer,spaces maintainers,bague et anse,bagues et anses,appareil mainteneur d'espace,appareils mainteneurs d'espaces;
t;FS;minivis;;mini-vis,mini implant,ancrage osseux,TADs,ancrage squelettique,vis d'ancrage,implant orthodontique temporaire;;;mini-vis,mini-visse,mini-visses,mini implant,minis implants,ancrage osseux,ancrages osseux,TADs,TADsse,TADsses,ancrage squelettique,ancrages squelettiques,vis d'ancrage,vis d'ancrages,implant orthodontique temporaire,implants orthodontiques temporaires;
t;MS;pendulum;;distalisation molaire,appareil pendulum;;;distalisation molaire,distalisations molaires,appareil pendulum,appareils pendulums;
t;FS;plaque amovible;;appareil amovible,removable appliance,plaque orthodontique;;;appareil amovible,appareils amovibles,removable appliance,removables appliances,plaque orthodontique,plaques orthodontiques;
t;MS;Propulsor;;CI II Propulseur,CI 2 Propulseur,Classe II Propulseur,Classe 2 Propulseur,propulseur classe II;;;CI II Propulseur,CIs IIs Propulseurs,CI 2 Propulseur,Classe II Propulseur,Classe 2 Propulseur,propulseur classe II;
t;MS;quad helix;;4 helix,quadri-hélix,expansion lente;;;4 helix,quadri-hélix,quadri-hélisse,quadri-hélisses,expansion lente,expansions lentes;
#;;;;;;;;
# PATHOLOGIES ET CONDITIONS DENTAIRES;;;;;;;;
#;;;;;;;;
p;FS;agénésie;;agenesie,dent manquante,absence de dent,hypodontie,oligodontie,anodontie,dent absente;;;agenesie,agenesies,dent manquante,dents manquantes,absence de dent,absences de dents,hypodontie,hypodonties,oligodontie,oligodonties,anodontie,anodonties,dent absente,dents absentes;
p;FS;ankylose;;dent ankylosée,fusion osseuse,ankilose;;;dent ankylosée,dents ankylosées,fusion osseuse,fusions osseuses,ankilose,ankiloses;
p;FP;caries dentaires;;carie,cavité,tooth decay,dental caries,lésion carieuse;;;carie,caries,cavité,cavitée,cavités,cavitées,tooth decay,tooths decays,dental caries,dentaux caries,lésion carieuse,lésions carieuses;
p;MS;crowding;;encombrement,chevauchement,manque de place,dents qui se chevauchent,entassement dentaire,crowding dentaire;;;encombrement,encombremente,encombrements,encombrementes,chevauchement,chevauchemente,chevauchements,chevauchementes,manque de place,manques de places,dents qui se chevauchent,dents qui ses chevauchents,entassement dentaire,entassements dentaires,crowding dentaire;
p;FS;dent surnuméraire;;dent en trop,dent supplémentaire,hyperdontie,mésiodens,supernuméraire;;;dent en trop,dents en trops,dent supplémentaire,dents supplémentaires,hyperdontie,hyperdonties,mésiodens,mésiodensse,mésiodensses,supernuméraire,supernuméraires;
p;MS;diastème;;diasteme,espace,gap,space,espacement,diastème central,dents écartées,écartement dentaire,espace interdentaire,dents du bonheur;;;diasteme,diastemes,espace,espaces,gap,gape,gaps,gapes,space,spaces,espacement,espacemente,espacements,espacementes,diastème central,diastèmes centraux,dents écartées,écartement dentaire,écartements dentaires,espace interdentaire,espaces interdentaires,dents du bonheur,dents du bonheurs;
p;MP;diastemata;;diastèmes,espaces multiples,dents espacées,espacement généralisé,espaces interdentaires;;;diastèmes,diastèmesse,diastèmesses,espaces multiples,dents espacées,espacement généralisé,espacements généralisés,espaces interdentaires;
p;FS;dysplasie;;dysmorphie,anomalie de développement,malformation,anomalie congénitale;;;dysmorphie,dysmorphies,anomalie de développement,anomalies de développements,malformation,malformations,anomalie congénitale,anomalies congénitales;
p;FS;ectopie;;dent en dehors de l'arcade,dent mal placée,ectopic tooth,mal placée,position ectopique;;;dent en dehors de l'arcade,dents en dehors de l'arcades,dent mal placée,dents maux placées,ectopic tooth,ectopics tooths,mal placée,maux placées,position ectopique,positions ectopiques;
p;FS;édentation;;edentation,absence de dents,édentement,perte de dents,édenté;;;edentation,edentations,absence de dents,absences de dents,édentement,édentemente,édentements,édentementes,perte de dents,pertes de dents,édenté,édentée,édentés,édentées;
p;FS;gingivite;;inflammation gingivale,gencives rouges,gingivitis,inflammation des gencives;;;inflammation gingivale,inflammations gingivales,gencives rouges,gingivitis,gingivitisse,gingivitisses,inflammation des gencives,inflammations des gencives;
p;FS;inclusion;;dent incluse,dent qui ne sort pas,impaction,impacted tooth,dent retenue,dent bloquée,dent qui ne pousse pas;;;dent incluse,dents incluses,dent qui ne sort pas,dents qui nes sorts pas,impaction,impactions,impacted tooth,impacteds tooths,dent retenue,dents retenues,dent bloquée,dents bloquées,dent qui ne pousse pas,dents qui nes pousses pas;
p;FS;macrodontie;;dents trop grandes,surdimensionnement dentaire,mégalodontie;;;dents trop grandes,dents trops grandes,surdimensionnement dentaire,surdimensionnements dentaires,mégalodontie,mégalodonties;
p;FS;maladie parodontale;;parodontite,déchaussement,maladie des gencives,parodontopathie,periodontal disease;;;parodontite,parodontites,déchaussement,déchaussemente,déchaussements,déchaussementes,maladie des gencives,maladies des gencives,parodontopathie,parodontopathies,periodontal disease,periodontaux diseases;
p;FS;malocclusion;;malocclusion dentaire,maloclusion,mauvaise occlusion,mauvais engrènement,problème d'occlusion;droit,gauche;droite,gauche;malocclusion dentaire,malocclusions dentaires,maloclusion,maloclusions,mauvaise occlusion,mauvaises occlusions,mauvais engrènement,mauvais engrènements,problème d'occlusion,problèmes d'occlusions;droit|droite|droits|droites,gauche|gauches
p;FS;malposition dentaire;;malposition,ectopie dentaire,dent mal positionnée;mandibulaire|inférieur,maxillaire|supérieur;mandibulaire,maxillaire;malposition,malpositions,ectopie dentaire,ectopies dentaires,dent mal positionnée,dents maux positionnées;mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures
p;FS;microdontie;;dents trop petites,nanisme dentaire,sous-dimensionnement dentaire;;;dents trop petites,dents trops petites,nanisme dentaire,nanismes dentaires,sous-dimensionnement dentaire,sous-dimensionnements dentaires;
p;FS;nécrose pulpaire;;mort pulpaire,nécrose de la pulpe,pulpe nécrosée,dévitalisation nécessaire;;;mort pulpaire,morts pulpaires,nécrose de la pulpe,nécroses de la pulpes,pulpe nécrosée,pulpes nécrosées,dévitalisation nécessaire,dévitalisations nécessaires;
p;FS;récession gingivale;;gingival recession,receding gums,récession parodontale,rétraction gingivale;;;gingival recession,gingivaux recessions,receding gums,recedings gums,récession parodontale,récessions parodontales,rétraction gingivale,rétractions gingivales;
p;FS;récidive;;recidive,rechute,relapse,retour,récidive orthodontique;;;recidive,rechute,rechutes,relapse,relapses,retour,retoure,retours,retoures,récidive orthodontique;
p;FS;résorption radiculaire;;résorption de la racine,racine qui se résorbe,rhizalyse,résorption apicale,raccourcissement radiculaire;;;résorption de la racine,résorptions de la racines,racine qui se résorbe,racines qui ses résorbes,rhizalyse,rhizalyses,résorption apicale,résorptions apicales,raccourcissement radiculaire,raccourcissements radiculaires;
p;FS;rotation;;dent tournée,dent rotée,twisted tooth,rotation axiale,dent pivotée,malposition rotationnelle,version axiale;;;dent tournée,dents tournées,dent rotée,dents rotées,twisted tooth,rotation axiale,rotations axiales,dent pivotée,dents pivotées,malposition rotationnelle,malpositions rotationnelles,version axiale,versions axiales;
p;FS;transposition;;dents transposées,inversion de position,permutation dentaire,échange de position;;;dents transposées,inversion de position,inversions de positions,permutation dentaire,permutations dentaires,échange de position,échanges de positions;
#;;;;;;;;
#;;;;;;;;
# ANOMALIES ALVÉOLAIRES;;;;;;;;
#;;;;;;;;
p;FS;proalvéolie;;proinclinaison,prochéilie;incisif,mandibulaire|inférieur,maxillaire|supérieur,sévère|grave|marqué|important,modéré|léger;incisive,mandibulaire,maxillaire,sévère,modérée;proinclinaison,proinclinaisonne,proinclinaisons,proinclinaisonnes,prochéilie,prochéilies;incisif|incisive|incisifs|incisives,mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères
p;FS;rétroalvéolie;;rétroinclinaison,rétrochéilie;mandibulaire|inférieur,maxillaire|supérieur,sévère|grave|marqué|important,modéré|léger;mandibulaire,maxillaire,sévère,modérée;rétroinclinaison,rétroinclinaisonne,rétroinclinaisons,rétroinclinaisonnes,rétrochéilie,rétrochéilies;mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères
p;FS;endoalvéolie;;anomalie alvéolaire,anomalie basale;mandibulaire|inférieur,maxillaire|supérieur;mandibulaire,maxillaire;anomalie alvéolaire,anomalies alvéolaires,anomalie basale,anomalies basales;mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures
#;;;;;;;;
# ANOMALIES DE DIMENSION;;;;;;;;
#;;;;;;;;
p;FS;macrognathie;;grande mâchoire,hyperplasie,grosse mâchoire,mâchoire trop grande,excès mandibulaire,excès maxillaire;mandibulaire|inférieur,maxillaire|supérieur;mandibulaire,maxillaire;grande mâchoire,grandes mâchoires,hyperplasie,hyperplasies,grosse mâchoire,grosses mâchoires,mâchoire trop grande,mâchoires trops grandes,excès mandibulaire,excès mandibulaires,excès maxillaire,excès maxillaires;mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures
